201	2819	1
246	8714	2
380	8868	3
507	4532	5
635	13835	6
1140	931	7
1259	1282	8
1392	11500	9
1517	10736	10
1692	3563	11
1695	10412	12
1793	12276	13
1986	10733	14
2044	8291	16
2093	11142	17
2236	11132	18
2307	3577	21
2337	911	22
2370	14127	24
2372	4346	25
2768	6465	26
2880	13680	28
2926	14158	29
15	11220	30
