2273	12900150740005	00706172	L	1282
2278	12900071420000	00693106	P	1664
2286	12900013930009	00683434	L	1547
2289	12900718110006	00772791	P	1402
2292	12900232200002	00716303	L	1690
2294	12900042520003	00688646	P	1536
2300	12900287750000	00722304	P	1715
2304	12900091970000	00696807	P	1714
2308	12900952750038	00857004	L	1542
2323	12900286190000	00722087	P	1558
2326	12900081070209	00843553	L	1548
2337	12900299140000	00723561	P	1569
2342	12900489880027	00744674	L	1675
2370	12900479030005	00743488	L	1581
2376	12901038870006	00929362	P	913
2377	12900373700000	00732054	L	1586
2386	12900006070011	00845245	P	1592
2390	12900056740026	00948345	L	999
2391	12900001390000	00681168	L	1596
2392	12900080550086	00694815	L	1665
2397	12900268040009	00720142	L	1045
2401	12900041780020	00688044	L	1486
2415	12900177690001	00709756	L	1611
2417	12900514880000	00747391	L	1610
2422	12900363110004	00730617	P	1606
2435	12900028710115	00922043	L	1607
2443	1290048310060	00948134	L	1618
2443	12900048310177	00948145	L	1618
2449	12900117750022	00701147	L	1625
2453	12900287750000	00722304	P	1621
2455	12900255970010	00718830	L	1624
2462	12900007620152	00920722	L	1630
2464	12900074560018	00693564	L	1634
2469	12900104200130	00961519	L	589
2474	12900736440005	00774643	P	711
2475	12900166030003	00708140	L	662
2487	129-0001385-003-3	00683423	L	735
2489	12900136020001	00704455	P	909
2490	12900736440005	00774643	P	1858
2499	12900509570004	00746719	P	1645
2504	129-0031481-049-6	00856624	L	972
2511	12900718110006	00772791	P	934
2516	12900108480373	01023154	L	1641
2516	12900108480076	01023124	L	1641
2521	12900100250006	00698125	L	994
2524	12900633020454	00760277	L	1022
2529	12900009490034	00682737	L	1058
2530	12901120930056	01003362	L	1060
2539	12900041230000	00687619	P	1652
2544	12900272980000	00720662	L	1079
2545	12900299140000	00723561	P	1120
2553	12900840840090	00821280	L	1157
2624	12900185800057	50008294	P	1217
2626	12900043890140	00689179	L	1512
2627	12900165140019	00708013	L	1288
2629	12900325540074	00726531	L	1413
2633	12900159840137	00937678	L	1728
2633	12900159840020	00937667	L	1728
2634	12900127010045	00987741	L	1419
2638	12900045000003	00689329	P	1487
2642	12900403760008	00735316	P	1785
2643	12900403760008	00735316	P	1825
2644	12900403760008	00735316	P	1828
2648	12900283440002	00721812	P	1826
2653	12900299140000	00723561	P	1729
2657	12900281710000	00721623	L	1760
2658	129-0011780-005-8	00701158	P	64
2691	12900185800077	50008296	P	1775
2692	12900073210136	00693352	L	1791
2695	12900165090008	00708003	P	1795
2701	12900278180001	00721215	L	1804
2702	12900012110041	00880072	P	1784
2704	12900470680006	00742626	L	1806
2705	12900470680006	00742626	L	1808
2712	12900470680006	00742626	L	1815
2715	12900385360009	00733294	P	1820
2722	12900549250005	00750903	P	1796
2729	12900314810272	00856602	L	1839
2731	12900266930003	00720010	L	1840
2733	12900001630025	00681198	P	1846
2734	12900470680006	00742626	L	1847
2735	12900470680006	00742626	L	1843
2736	12900278180001	00721215	L	1857
2746	12900238930024	00998374	P	1872
2747	12900234790000	00716584	L	1867
2751	12900062760000	00692010	L	1874
2755	12901134690001	01006277	L	1894
2755	12901134680002	01006248	L	1894
2755	12901134670003	01006244	L	1894
2755	12901134700008	01006278	L	1894
2757	12900173960002	00709333	L	1898
2760	129-0005369-001-8	00690775	L	1901
2763	12900297570000	00723395	P	1903
2766	12900322710001	00726206	L	1907
2768	12900646390019	00848591	L	1908
2777	12900013800004	00683412	L	1917
2778	12900516570005	00747572	L	1920
2780	12900108760238	00822782	L	1922
2793	12900158670006	00707239	L	1935
2795	12900773630005	00778344	L	1940
2796	12900089770156	00696431	L	1941
2801	12900081290633	00908152	L	1944
2802	12900184880009	00710562	L	1945
2805	129712900108900032	00895961	L	1947
2809	12900198710150	00712221	L	1951
2811	12900034780029	00686598	P	1954
2813	29712900005350266	01023998	L	1964
2814	12900004730004	00681626	P	1956
2819	12900169400294	00708733	L	1961
2822	12900503900009	00746136	P	1965
2824	12900095290025	00697299	L	1967
2827	29712900101710669	00998724	L	1970
2827	12900101710321	00998690	L	1970
2829	12900101310130	00698259	L	1972
2833	1290032648007	00726646	L	1976
2837	12900236420093	00900274	L	1986
2841	12900023910165	00684891	L	1988
2845	12900085860035	00695524	L	1990
2860	12900597150008	00756469	L	2028
2862	12900467780009	00742322	P	2005
2871	12900601680040	00971644	L	2021
2876	12900307330098	00857308	L	2024
2877	12900179400003	00709949	L	2025
2879	12900109230017	00699970	L	2069
2880	12901087700047	01020740	L	2036
2883	12900049040005	00689972	L	2031
2888	12900041180015	00687561	L	2037
2891	12900276390008	00721018	L	2042
2900	1290009659001	00697485	P	2072
2905	12900070930009	00693034	L	2052
2908	12900513570008	00747259	L	2070
2910	12900150600001	00706158	P	2057
2911	12900150600001	00706158	P	2058
2921	12900927610010	00848475	L	2067
2924	12900973960004	00872568	P	2073
2935	12900025860004	00685282	P	2083
2938	12900736440005	00774643	P	1748
2939	12900714550007	00772436	L	2088
50001	12900089500074	00696369	L	2102
50003	129-0042204-002-8	00924978	L	2104
50004	129-0042204-001-0	00924977	L	2105
50007	12900013800004	00683412	L	2106
50008	129-0080553-000-9	00779972	L	2107
50009	129-0007890-000-4	00694263	L	2136
50013	12900136360001	00704509	L	2182
50014	12900019250006	00684128	L	2139
50015	12900754320006	00776421	L	2154
50016	12900066450012	00822664	L	2155
50017	12900070930009	00693034	L	2156
50021	12900365000039	00730841	L	2160
50024	12900170400002	00708898	L	2163
50026	12900167370010	00912031	L	2164
50027	12900077380000	00693989	L	2165
50028	12900080280007	00694691	L	2168
50030	12900074540002	00693561	L	2172
50031	12900013850017	00683421	L	2173
50032	12900074560018	00693564	L	2181
50033	12900041090008	00687525	L	2174
50034	12900114070002	00700636	L	2175
50038	12900013850033	00683423	L	2176
50042	12900277040008	00721086	L	2180
53	12900037490147	00986038	P	2098
56	12900018450094	00939515	P	1900
57	12900668900000	00766829	L	2150
